Date,Value,Type
2011-11-07,4381,Deposit
2012-03-03,2843,Deposit
2013-03-27,1457,Deposit
2013-07-18,4882,Deposit
2013-10-25,358,Deposit
2013-11-25,643,Deposit
2015-02-18,861,Deposit
2016-08-11,2081,Deposit
2016-08-30,2673,Deposit
2017-01-05,529,Deposit
2017-04-20,1703,Deposit
2017-05-30,4436,Deposit
2018-04-02,4925,Deposit
2018-07-11,4766,Deposit
2020-02-28,1737,Deposit
2020-07-24,2694,Deposit
2021-01-16,3227,Deposit
2021-02-05,2579,Deposit
2021-05-02,2632,Deposit
2010-01-01,593,Deposit
2015-03-03,-5.53,FX Fee
2019-01-01,3.82,Interest
