dayID,date,value,amount_bought,amount_sold,amount_ITM,amount_return_cum,percent_return_cum,amount_deposited,amount_return_day,percent_return_day,ind_out,ind_in,spy,nasdaq,dow,russell,ftse
20100101,2010-01-01,0.0,0.0,0.0,0.0,0.0,0.0,4849.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100102,2010-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100103,2010-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100104,2010-01-04,509.38,608.0,0.0,608.0,-98.62,-16.22,0.0,-98.62,0.0,0.0,0.0,113.33,2308.42,10583.96,640.1,0.0
20100105,2010-01-05,515.3,0.0,0.0,608.0,-92.7,-15.25,0.0,5.92,0.97,0.0,0.0,113.63,2308.71,10572.02,638.49,0.0
20100106,2010-01-06,518.68,0.0,0.0,608.0,-89.32,-14.69,3103.0,3.38,0.56,0.0,0.0,113.71,2301.09,10573.68,637.95,0.0
20100107,2010-01-07,519.97,0.0,0.0,608.0,-88.03,-14.48,0.0,1.29,0.21,0.0,0.0,114.19,2300.05,10606.86,641.97,0.0
20100108,2010-01-08,514.97,0.0,0.0,608.0,-93.03,-15.3,0.0,-5.0,-0.82,0.0,0.0,114.57,2317.17,10618.19,644.56,0.0
20100109,2010-01-09,515.94,0.0,0.0,608.0,-92.06,-15.14,0.0,0.97,0.16,0.0,0.0,114.62,2315.58,10633.46,644.37,0.0
20100110,2010-01-10,516.91,0.0,0.0,608.0,-91.09,-14.98,0.0,0.97,0.16,0.0,0.0,114.68,2314.0,10648.72,644.18,0.0
20100111,2010-01-11,517.88,0.0,0.0,608.0,-90.12,-14.82,0.0,0.97,0.16,0.0,0.0,114.73,2312.41,10663.99,643.99,0.0
20100112,2010-01-12,514.06,0.0,0.0,608.0,-93.94,-15.45,0.0,-3.82,-0.63,0.0,0.0,113.66,2282.31,10627.26,635.5,0.0
20100113,2010-01-13,507.78,0.0,0.0,608.0,-100.22,-16.48,0.0,-6.28,-1.03,0.0,0.0,114.62,2307.9,10680.77,643.56,0.0
20100114,2010-01-14,506.36,0.0,0.0,608.0,-101.64,-16.72,0.0,-1.42,-0.23,0.0,0.0,114.93,2316.74,10710.55,646.43,0.0
20100115,2010-01-15,504.2,0.0,0.0,608.0,-103.8,-17.07,0.0,-2.17,-0.36,0.0,0.0,113.64,2287.99,10609.65,637.96,0.0
20100116,2010-01-16,503.63,0.0,0.0,608.0,-104.37,-17.17,0.0,-0.56,-0.09,0.0,0.0,113.99,2296.09,10638.6,640.76,0.0
20100117,2010-01-17,503.07,0.0,0.0,608.0,-104.93,-17.26,0.0,-0.56,-0.09,0.0,0.0,114.35,2304.19,10667.54,643.56,0.0
20100118,2010-01-18,502.51,0.0,0.0,608.0,-105.49,-17.35,0.0,-0.56,-0.09,0.0,0.0,114.7,2312.3,10696.48,646.35,0.0
20100119,2010-01-19,502.68,0.0,0.0,608.0,-105.32,-17.32,0.0,0.18,0.03,0.0,0.0,115.06,2320.4,10725.43,649.15,0.0
20100120,2010-01-20,495.46,0.0,0.0,608.0,-112.54,-18.51,0.0,-7.22,-1.19,0.0,0.0,113.89,2291.25,10603.15,639.61,0.0
20100121,2010-01-21,488.56,0.0,0.0,608.0,-119.44,-19.64,0.0,-6.9,-1.13,0.0,0.0,111.7,2265.7,10389.88,628.36,0.0
20100122,2010-01-22,487.02,0.0,0.0,608.0,-120.98,-19.9,0.0,-1.54,-0.25,0.0,0.0,109.21,2205.29,10172.98,617.12,0.0
20100123,2010-01-23,485.0,0.0,0.0,608.0,-123.0,-20.23,0.0,-2.02,-0.33,0.0,0.0,109.4,2207.13,10180.94,617.45,0.0
20100124,2010-01-24,1435.27,1142.0,0.0,1750.0,-314.73,-17.98,0.0,-191.73,2.25,0.0,0.0,109.58,2208.96,10188.9,617.78,0.0
20100125,2010-01-25,1430.94,0.0,0.0,1750.0,-319.06,-18.23,0.0,-4.33,-0.25,0.0,0.0,109.77,2210.8,10196.86,618.11,0.0
20100126,2010-01-26,1421.82,0.0,0.0,1750.0,-328.18,-18.75,0.0,-9.12,-0.52,0.0,0.0,109.31,2203.73,10194.29,612.16,0.0
20100127,2010-01-27,1437.96,0.0,0.0,1750.0,-312.04,-17.83,0.0,16.14,0.92,0.0,0.0,109.83,2221.41,10236.16,618.38,0.0
20100128,2010-01-28,1440.47,0.0,0.0,1750.0,-309.53,-17.69,0.0,2.51,0.14,0.0,0.0,108.57,2179.0,10120.46,607.93,0.0
20100129,2010-01-29,2895.49,1458.0,0.0,3208.0,-312.51,-9.74,0.0,-2.98,7.95,0.0,0.0,107.39,2147.35,10067.33,602.04,0.0
20100130,2010-01-30,2911.87,0.0,0.0,3208.0,-296.13,-9.23,0.0,16.38,0.51,0.0,0.0,107.95,2155.3,10106.73,604.44,0.0
20100131,2010-01-31,2928.26,0.0,0.0,3208.0,-279.74,-8.72,0.0,16.39,0.51,0.0,0.0,108.5,2163.25,10146.13,606.85,0.0
20100201,2010-02-01,2944.67,0.0,0.0,3208.0,-263.33,-8.21,0.0,16.41,0.51,0.0,0.0,109.06,2171.2,10185.53,609.25,0.0
20100202,2010-02-02,2980.09,0.0,0.0,3208.0,-227.91,-7.1,0.0,35.42,1.1,0.0,0.0,110.38,2190.06,10296.85,614.05,0.0
20100203,2010-02-03,3487.2,517.0,0.0,3725.0,-237.8,-6.38,0.0,-9.89,0.72,0.0,0.0,109.83,2190.91,10270.55,610.66,0.0
20100204,2010-02-04,3367.0,0.0,0.0,3725.0,-358.0,-9.61,0.0,-120.2,-3.23,0.0,0.0,106.44,2125.43,10002.18,589.68,0.0
20100205,2010-02-05,3348.15,0.0,0.0,3725.0,-376.85,-10.12,0.0,-18.85,-0.51,0.0,0.0,106.66,2141.12,10012.23,592.98,0.0
20100206,2010-02-06,3346.91,0.0,0.0,3725.0,-378.09,-10.15,0.0,-1.24,-0.03,0.0,0.0,106.4,2136.1,9977.62,590.82,0.0
