dayID,date,value,amount_bought,amount_sold,amount_ITM,amount_return_cum,percent_return_cum,amount_deposited,amount_return_day,percent_return_day,ind_out,ind_in,spy,ftse
20100101,2010-01-01,0.0,0.0,0.0,0.0,0.0,0.0,4849.0,0.0,0.0,0.0,0.0,0.0,0.0
20100102,2010-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100103,2010-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100104,2010-01-04,509.38,608.0,0.0,608.0,-98.62,-16.22,0.0,-98.62,0.0,0.0,0.0,89.89,0.0
20100105,2010-01-05,515.3,0.0,0.0,608.0,-92.7,-15.25,0.0,5.92,0.97,0.0,0.0,90.13,0.0
20100106,2010-01-06,518.68,0.0,0.0,608.0,-89.32,-14.69,3103.0,3.38,0.56,0.0,0.0,90.19,0.0
20100107,2010-01-07,1415.51,1057.0,0.0,1665.0,-249.49,-14.98,0.0,-160.17,-0.29,0.0,0.0,90.57,0.0
20100108,2010-01-08,1418.76,0.0,0.0,1665.0,-246.24,-14.79,0.0,3.26,0.2,0.0,0.0,90.87,0.0
20100109,2010-01-09,1418.07,0.0,0.0,1665.0,-246.93,-14.83,0.0,-0.69,-0.04,0.0,0.0,90.92,0.0
20100110,2010-01-10,1417.38,0.0,0.0,1665.0,-247.62,-14.87,0.0,-0.69,-0.04,0.0,0.0,90.96,0.0
20100111,2010-01-11,1416.69,0.0,0.0,1665.0,-248.31,-14.91,0.0,-0.69,-0.04,0.0,0.0,91.0,0.0
20100112,2010-01-12,1410.71,0.0,0.0,1665.0,-254.29,-15.27,0.0,-5.97,-0.36,0.0,0.0,90.15,0.0
20100113,2010-01-13,1370.88,0.0,0.0,1665.0,-294.12,-17.67,0.0,-39.84,-2.39,0.0,0.0,90.91,0.0
20100114,2010-01-14,1379.97,0.0,0.0,1665.0,-285.03,-17.12,0.0,9.09,0.55,0.0,0.0,91.16,0.0
20100115,2010-01-15,1368.15,0.0,0.0,1665.0,-296.85,-17.83,0.0,-11.82,-0.71,0.0,0.0,90.14,0.0
20100116,2010-01-16,1362.85,0.0,0.0,1665.0,-302.15,-18.15,0.0,-5.3,-0.32,0.0,0.0,90.42,0.0
20100117,2010-01-17,1357.57,0.0,0.0,1665.0,-307.43,-18.46,0.0,-5.28,-0.32,0.0,0.0,90.7,0.0
20100118,2010-01-18,1352.31,0.0,0.0,1665.0,-312.69,-18.78,0.0,-5.26,-0.32,0.0,0.0,90.98,0.0
20100119,2010-01-19,1349.04,0.0,0.0,1665.0,-315.96,-18.98,0.0,-3.27,-0.2,0.0,0.0,91.26,0.0
20100120,2010-01-20,1331.79,0.0,0.0,1665.0,-333.21,-20.01,0.0,-17.24,-1.04,0.0,0.0,90.33,0.0
20100121,2010-01-21,1277.12,0.0,0.0,1665.0,-387.88,-23.3,0.0,-54.67,-3.28,0.0,0.0,88.6,0.0
20100122,2010-01-22,1240.57,0.0,0.0,1665.0,-424.43,-25.49,0.0,-36.55,-2.2,0.0,0.0,86.62,0.0
20100123,2010-01-23,1236.38,0.0,0.0,1665.0,-428.62,-25.74,0.0,-4.2,-0.25,0.0,0.0,86.77,0.0
20100124,2010-01-24,2184.48,1142.0,0.0,2807.0,-622.52,-22.18,0.0,-193.9,3.57,0.0,0.0,86.92,0.0
20100125,2010-01-25,2178.0,0.0,0.0,2807.0,-629.0,-22.41,0.0,-6.48,-0.23,0.0,0.0,87.07,0.0
20100126,2010-01-26,2173.65,0.0,0.0,2807.0,-633.35,-22.56,0.0,-4.35,-0.15,0.0,0.0,86.7,0.0
20100127,2010-01-27,2201.5,0.0,0.0,2807.0,-605.5,-21.57,0.0,27.86,0.99,0.0,0.0,87.11,0.0
20100128,2010-01-28,2192.48,0.0,0.0,2807.0,-614.52,-21.89,0.0,-9.03,-0.32,0.0,0.0,86.11,0.0
20100129,2010-01-29,3668.26,1458.0,0.0,4265.0,-596.74,-13.99,0.0,17.78,7.9,0.0,0.0,85.18,0.0
20100130,2010-01-30,3685.16,0.0,0.0,4265.0,-579.84,-13.6,0.0,16.9,0.4,0.0,0.0,85.62,0.0
20100131,2010-01-31,3702.08,0.0,0.0,4265.0,-562.92,-13.2,0.0,16.92,0.4,0.0,0.0,86.06,0.0
20100201,2010-02-01,3719.01,0.0,0.0,4265.0,-545.99,-12.8,0.0,16.93,0.4,0.0,0.0,86.5,0.0
20100202,2010-02-02,3752.52,0.0,0.0,4265.0,-512.48,-12.02,0.0,33.51,0.79,0.0,0.0,87.55,0.0
20100203,2010-02-03,4236.37,517.0,0.0,4782.0,-545.63,-11.41,0.0,-33.15,0.61,0.0,0.0,87.11,0.0
20100204,2010-02-04,4123.3,0.0,0.0,4782.0,-658.7,-13.77,0.0,-113.07,-2.36,0.0,0.0,84.42,0.0
20100205,2010-02-05,4055.44,0.0,0.0,4782.0,-726.56,-15.19,0.0,-67.86,-1.42,0.0,0.0,84.6,0.0
20100206,2010-02-06,4064.52,0.0,0.0,4782.0,-717.48,-15.0,0.0,9.08,0.19,0.0,0.0,84.4,0.0
20100207,2010-02-07,4073.63,0.0,0.0,4782.0,-708.37,-14.81,0.0,9.11,0.19,0.0,0.0,84.19,0.0
20100208,2010-02-08,4082.76,0.0,0.0,4782.0,-699.24,-14.62,0.0,9.13,0.19,0.0,0.0,83.99,0.0
20100209,2010-02-09,4072.24,0.0,0.0,4782.0,-709.76,-14.84,0.0,-10.52,-0.22,0.0,0.0,85.04,0.0
20100210,2010-02-10,4115.81,0.0,0.0,4782.0,-666.19,-13.93,0.0,43.57,0.91,0.0,0.0,84.88,0.0
20100211,2010-02-11,4087.92,0.0,0.0,4782.0,-694.08,-14.51,0.0,-27.88,-0.58,0.0,0.0,85.76,0.0
20100212,2010-02-12,4093.81,0.0,0.0,4782.0,-688.19,-14.39,0.0,5.89,0.12,0.0,0.0,85.69,0.0
20100213,2010-02-13,4111.82,0.0,0.0,4782.0,-670.18,-14.01,0.0,18.0,0.38,0.0,0.0,86.03,0.0
20100214,2010-02-14,4129.83,0.0,0.0,4782.0,-652.17,-13.64,0.0,18.01,0.38,0.0,0.0,86.37,0.0
20100215,2010-02-15,4147.85,0.0,0.0,4782.0,-634.15,-13.26,0.0,18.02,0.38,0.0,0.0,86.7,0.0
20100216,2010-02-16,4190.73,0.0,0.0,4782.0,-591.27,-12.36,0.0,42.88,0.9,0.0,0.0,87.04,0.0
20100217,2010-02-17,4255.89,0.0,0.0,4782.0,-526.11,-11.0,0.0,65.15,1.36,0.0,0.0,87.45,0.0
20100218,2010-02-18,4341.04,0.0,0.0,4782.0,-440.96,-9.22,0.0,85.15,1.78,0.0,0.0,87.97,0.0
20100219,2010-02-19,4326.11,0.0,0.0,4782.0,-455.89,-9.53,0.0,-14.94,-0.31,0.0,0.0,88.15,0.0
20100220,2010-02-20,4332.82,0.0,0.0,4782.0,-449.18,-9.39,0.0,6.71,0.14,0.0,0.0,88.16,0.0
20100221,2010-02-21,4339.52,0.0,0.0,4782.0,-442.48,-9.25,0.0,6.7,0.14,0.0,0.0,88.16,0.0
20100222,2010-02-22,4346.22,0.0,0.0,4782.0,-435.78,-9.11,0.0,6.7,0.14,0.0,0.0,88.17,0.0
20100223,2010-02-23,4292.24,0.0,0.0,4782.0,-489.76,-10.24,0.0,-53.98,-1.13,0.0,0.0,87.1,0.0
20100224,2010-02-24,5116.76,928.0,0.0,5710.0,-593.24,-10.39,0.0,-103.48,-0.15,0.0,0.0,87.9,0.0
20100225,2010-02-25,5093.4,0.0,0.0,5710.0,-616.6,-10.8,0.0,-23.37,-0.41,0.0,0.0,87.78,0.0
20100226,2010-02-26,5194.03,0.0,0.0,5710.0,-515.97,-9.04,0.0,100.64,1.76,0.0,0.0,87.83,0.0
20100227,2010-02-27,5632.21,464.0,0.0,6174.0,-541.79,-8.78,0.0,-25.82,0.26,0.0,0.0,88.14,0.0
20100228,2010-02-28,5659.59,0.0,0.0,6174.0,-514.41,-8.33,0.0,27.38,0.44,0.0,0.0,88.44,0.0
20100301,2010-03-01,5687.23,0.0,0.0,6174.0,-486.77,-7.88,0.0,27.64,0.45,0.0,0.0,88.75,0.0
20100302,2010-03-02,5726.05,0.0,0.0,6174.0,-447.95,-7.26,0.0,38.82,0.63,0.0,0.0,88.99,0.0
20100303,2010-03-03,5714.71,0.0,0.0,6174.0,-459.29,-7.44,0.0,-11.34,-0.18,-30.0,0.0,89.07,0.0
20100304,2010-03-04,5757.14,0.0,0.0,6174.0,-416.86,-6.75,0.0,42.43,0.69,0.0,0.0,89.34,0.0
20100305,2010-03-05,5823.9,0.0,0.0,6174.0,-350.1,-5.67,0.0,66.76,1.08,0.0,0.0,90.62,0.0
20100306,2010-03-06,5842.77,0.0,0.0,6174.0,-331.23,-5.36,0.0,18.87,0.31,0.0,0.0,90.62,0.0
20100307,2010-03-07,5861.71,0.0,0.0,6174.0,-312.29,-5.06,0.0,18.94,0.31,0.0,0.0,90.63,0.0
20100308,2010-03-08,6347.41,520.0,0.0,6694.0,-346.59,-5.18,0.0,-34.3,-0.12,0.0,0.0,90.63,0.0
20100309,2010-03-09,6379.32,0.0,0.0,6694.0,-314.68,-4.7,0.0,31.91,0.48,0.0,0.0,90.79,0.0
20100310,2010-03-10,6425.96,0.0,0.0,6694.0,-268.04,-4.0,0.0,46.64,0.7,0.0,0.0,91.19,0.0
20100311,2010-03-11,6427.43,0.0,0.0,6694.0,-266.57,-3.98,0.0,1.47,0.02,0.0,0.0,91.57,0.0
20100312,2010-03-12,6444.45,0.0,0.0,6694.0,-249.55,-3.73,0.0,17.02,0.25,0.0,0.0,91.58,0.0
20100313,2010-03-13,6431.24,0.0,0.0,6694.0,-262.76,-3.93,0.0,-13.21,-0.2,0.0,0.0,91.59,0.0
20100314,2010-03-14,6417.97,0.0,0.0,6694.0,-276.03,-4.12,0.0,-13.27,-0.2,0.0,0.0,91.59,0.0
20100315,2010-03-15,6404.63,0.0,0.0,6694.0,-289.37,-4.32,0.0,-13.33,-0.2,0.0,0.0,91.6,0.0
