date,AAPL,BARC.L,GOOG,HUKX.L,JNJ,JPM,K,MCD,PFE,SPY,XOM
2010-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-01-24,0.0,0.0,0.0,0.0,0.0,66.35,0.0,0.0,0.0,0.0,33.65
2010-01-25,0.0,0.0,0.0,0.0,0.0,66.39,0.0,0.0,0.0,0.0,33.61
2010-01-26,0.0,0.0,0.0,0.0,0.0,65.92,0.0,0.0,0.0,0.0,34.08
2010-01-27,0.0,0.0,0.0,0.0,0.0,66.56,0.0,0.0,0.0,0.0,33.44
2010-01-28,0.0,0.0,0.0,0.0,0.0,66.84,0.0,0.0,0.0,0.0,33.16
2010-01-29,0.0,0.0,0.0,50.35,0.0,33.12,0.0,0.0,0.0,0.0,16.52
2010-01-30,0.0,0.0,0.0,50.26,0.0,33.15,0.0,0.0,0.0,0.0,16.59
2010-01-31,0.0,0.0,0.0,50.16,0.0,33.18,0.0,0.0,0.0,0.0,16.66
2010-02-01,0.0,0.0,0.0,50.06,0.0,33.21,0.0,0.0,0.0,0.0,16.72
2010-02-02,0.0,0.0,0.0,49.83,0.0,33.5,0.0,0.0,0.0,0.0,16.68
2010-02-03,0.0,14.83,0.0,42.36,0.0,28.57,0.0,0.0,0.0,0.0,14.24
2010-02-04,0.0,14.15,0.0,42.95,0.0,28.43,0.0,0.0,0.0,0.0,14.47
2010-02-05,0.0,14.06,0.0,42.5,0.0,28.76,0.0,0.0,0.0,0.0,14.67
2010-02-06,0.0,14.05,0.0,42.61,0.0,28.67,0.0,0.0,0.0,0.0,14.67
2010-02-07,0.0,14.04,0.0,42.71,0.0,28.58,0.0,0.0,0.0,0.0,14.67
2010-02-08,0.0,14.03,0.0,42.82,0.0,28.49,0.0,0.0,0.0,0.0,14.66
2010-02-09,0.0,14.0,0.0,42.74,0.0,28.61,0.0,0.0,0.0,0.0,14.65
2010-02-10,0.0,14.28,0.0,42.47,0.0,28.77,0.0,0.0,0.0,0.0,14.47
2010-02-11,0.0,13.83,0.0,42.84,0.0,28.81,0.0,0.0,0.0,0.0,14.52
2010-02-12,0.0,13.59,0.0,42.95,0.0,28.95,0.0,0.0,0.0,0.0,14.52
2010-02-13,0.0,13.73,0.0,42.76,0.0,28.99,0.0,0.0,0.0,0.0,14.52
2010-02-14,0.0,13.87,0.0,42.57,0.0,29.04,0.0,0.0,0.0,0.0,14.52
2010-02-15,0.0,14.01,0.0,42.38,0.0,29.09,0.0,0.0,0.0,0.0,14.53
2010-02-16,0.0,14.74,0.0,42.35,0.0,28.63,0.0,0.0,0.0,0.0,14.28
2010-02-17,0.0,15.02,0.0,42.31,0.0,28.54,0.0,0.0,0.0,0.0,14.13
2010-02-18,0.0,15.07,0.0,41.96,0.0,28.8,0.0,0.0,0.0,0.0,14.17
2010-02-19,0.0,15.26,0.0,42.18,0.0,28.45,0.0,0.0,0.0,0.0,14.11
2010-02-20,0.0,15.29,0.0,42.09,0.0,28.57,0.0,0.0,0.0,0.0,14.05
2010-02-21,0.0,15.33,0.0,42.0,0.0,28.69,0.0,0.0,0.0,0.0,13.98
2010-02-22,0.0,15.36,0.0,41.91,0.0,28.82,0.0,0.0,0.0,0.0,13.91
2010-02-23,0.0,15.32,0.0,42.12,0.0,28.54,0.0,0.0,0.0,0.0,14.01
2010-02-24,0.0,12.3,0.0,34.2,0.0,23.64,0.0,18.42,0.0,0.0,11.44
2010-02-25,0.0,12.22,0.0,33.91,0.0,23.88,0.0,18.45,0.0,0.0,11.54
2010-02-26,0.0,12.28,0.0,33.94,0.0,24.35,0.0,18.06,0.0,0.0,11.37
2010-02-27,0.0,11.19,0.0,31.03,0.0,22.29,0.0,16.56,0.0,8.49,10.44
2010-02-28,0.0,11.13,0.0,30.99,0.0,22.29,0.0,16.59,0.0,8.53,10.47
2010-03-01,0.0,11.08,0.0,30.95,0.0,22.28,0.0,16.62,0.0,8.56,10.5
2010-03-02,0.0,11.36,0.0,31.23,0.0,21.98,0.0,16.5,0.0,8.51,10.43
2010-03-03,0.0,11.63,0.0,31.48,0.0,21.79,0.0,16.28,0.0,8.47,10.35
2010-03-04,0.0,11.68,0.0,31.28,0.0,21.99,0.0,16.22,0.0,8.49,10.34
2010-03-05,0.0,11.83,0.0,31.34,0.0,22.05,0.0,15.99,0.0,8.46,10.32
2010-03-06,0.0,11.85,0.0,31.27,0.0,22.01,0.0,16.11,0.0,8.45,10.32
2010-03-07,0.0,11.86,0.0,31.2,0.0,21.96,0.0,16.22,0.0,8.45,10.32
2010-03-08,0.0,10.02,15.55,26.29,0.0,18.5,0.0,13.79,0.0,7.13,8.71
2010-03-09,0.0,10.05,15.51,26.26,0.0,18.46,0.0,13.81,0.0,7.16,8.76
2010-03-10,0.0,9.98,15.82,26.17,0.0,18.51,0.0,13.65,0.0,7.12,8.74
2010-03-11,0.0,9.9,15.89,26.15,0.0,18.56,0.0,13.66,0.0,7.13,8.71
2010-03-12,0.0,10.17,15.76,26.29,0.0,18.44,0.0,13.65,0.0,7.09,8.61
2010-03-13,0.0,10.14,15.67,26.24,0.0,18.49,0.0,13.73,0.0,7.11,8.61
2010-03-14,0.0,10.11,15.57,26.2,0.0,18.55,0.0,13.81,0.0,7.14,8.62
2010-03-15,0.0,10.08,15.48,26.15,0.0,18.6,0.0,13.89,0.0,7.17,8.63
2010-03-16,0.0,10.35,15.37,26.3,0.0,18.48,0.0,13.77,0.0,7.15,8.58
2010-03-17,0.0,10.37,15.25,26.36,0.0,18.56,0.0,13.72,0.0,7.13,8.61
2010-03-18,0.0,10.18,15.33,26.32,0.0,18.56,0.0,13.83,0.0,7.15,8.64
2010-03-19,0.0,10.23,15.27,26.16,0.0,18.62,0.0,13.9,0.0,7.14,8.66
2010-03-20,0.0,9.69,14.46,24.85,0.0,17.7,0.0,18.31,0.0,6.78,8.21
2010-03-21,0.0,9.66,14.42,24.87,0.0,17.72,0.0,18.34,0.0,6.79,8.2
2010-03-22,0.0,9.63,14.39,24.9,0.0,17.74,0.0,18.36,0.0,6.79,8.19
2010-03-23,0.0,9.66,14.13,24.81,0.0,18.02,0.0,18.4,0.0,6.82,8.16
2010-03-24,0.0,9.63,14.36,24.64,0.0,18.19,0.0,18.27,0.0,6.8,8.12
2010-03-25,0.0,9.72,14.44,24.68,0.0,18.12,0.0,18.23,0.0,6.76,8.06
2010-03-26,0.0,9.79,14.4,24.6,0.0,18.11,0.0,18.28,0.0,6.74,8.07
2010-03-27,0.0,9.8,14.39,24.66,0.0,18.07,0.0,18.25,0.0,6.74,8.09
2010-03-28,0.0,9.82,14.37,24.71,0.0,18.03,0.0,18.21,0.0,6.75,8.11
2010-03-29,0.0,9.85,14.34,24.82,0.0,17.97,0.0,18.15,0.0,6.75,8.13
2010-03-30,0.0,9.69,14.46,24.87,0.0,17.88,0.0,18.22,0.0,6.77,8.11
2010-03-31,0.0,9.8,14.44,25.01,0.0,17.91,0.0,18.04,0.0,6.73,8.08
2010-04-01,0.0,9.74,14.38,24.98,0.0,17.95,0.0,18.14,0.0,6.72,8.1
2010-04-02,0.0,9.75,14.36,25.01,0.0,17.93,0.0,18.13,0.0,6.72,8.1
2010-04-03,0.0,9.75,14.35,25.04,0.0,17.91,0.0,18.13,0.0,6.72,8.1
2010-04-04,0.0,9.76,14.34,25.07,0.0,17.89,0.0,18.12,0.0,6.72,8.1
2010-04-05,0.0,9.75,14.34,25.04,0.0,17.89,0.0,18.14,0.0,6.73,8.11
2010-04-06,0.0,9.74,14.27,25.01,0.0,18.08,0.0,18.08,0.0,6.75,8.08
2010-04-07,42.1,5.64,8.23,14.56,0.0,10.4,0.0,10.5,0.0,3.9,4.66
2010-04-08,41.91,5.59,8.28,14.48,0.0,10.49,0.0,10.65,0.0,3.91,4.69
2010-04-09,41.99,5.55,8.21,14.56,0.0,10.48,0.0,10.57,0.0,3.91,4.72
2010-04-10,41.97,5.59,8.23,14.55,0.0,10.48,0.0,10.56,0.0,3.91,4.72
2010-04-11,41.95,5.62,8.25,14.54,0.0,10.48,0.0,10.54,0.0,3.91,4.71
2010-04-12,41.93,5.66,8.28,14.53,0.0,10.48,0.0,10.51,0.0,3.91,4.7
2010-04-13,41.84,5.65,8.45,14.54,0.0,10.39,0.0,10.54,0.0,3.9,4.69
2010-04-14,41.83,5.74,8.37,14.41,0.0,10.66,0.0,10.48,0.0,3.89,4.62
2010-04-15,42.09,5.81,8.4,14.3,0.0,10.61,0.0,10.37,0.0,3.87,4.57
2010-04-16,42.62,5.76,7.91,14.36,0.0,10.3,0.0,10.54,0.0,3.88,4.63
2010-04-17,42.61,5.74,7.91,14.34,0.0,10.28,0.0,10.59,0.0,3.88,4.64
2010-04-18,42.6,5.73,7.92,14.32,0.0,10.27,0.0,10.64,0.0,3.89,4.64
2010-04-19,42.56,5.72,7.91,14.33,0.0,10.26,0.0,10.68,0.0,3.89,4.65
2010-04-20,42.07,5.77,7.97,14.5,0.0,10.35,0.0,10.73,0.0,3.92,4.69
2010-04-21,43.68,5.53,7.8,14.02,0.0,10.03,0.0,10.51,0.0,3.83,4.59
2010-04-22,44.53,5.39,7.63,13.76,0.0,9.81,0.0,10.52,0.0,3.81,4.53
2010-04-23,44.79,5.39,7.52,13.79,0.0,9.75,0.0,10.43,0.0,3.8,4.53
2010-04-24,44.77,5.45,7.47,13.86,0.0,9.69,0.0,10.44,0.0,3.8,4.54
2010-04-25,44.75,5.5,7.42,13.92,0.0,9.62,0.0,10.44,0.0,3.8,4.54
2010-04-26,44.87,5.49,7.39,13.81,0.0,9.59,0.0,10.48,0.0,3.81,4.56
2010-04-27,44.72,5.41,7.54,13.75,0.0,9.5,0.0,10.67,0.0,3.81,4.61
2010-04-28,44.51,5.37,7.52,13.81,0.0,9.7,0.0,10.61,0.0,3.83,4.66
