stockID,ticker,quantity_bought,quantity_sold,amount_bought,amount_sold,shareCount,value,dividend,amount_return,percent_return,share,currency,name,sector,industry,price,analyst,mcap,eps_ttm,eps_fwd,pe_ttm,pe_fwd,beta,52w_change,div_yield_fwd
0,AAPL,49.43,0.0,869,0,466.63,59156.0,0.0,58287.0,6707.36,27.59,USD,Apple Inc.,Technology,Consumer Electronics,172.71,1.8 - Buy,2818523791360,6.015,6.55,28.713219,26.367939,1.19,25.91%,0.51%
1,BARC.L,1832.84,0.0,4049,0,1832.84,3676.68,0.0,-372.32,-9.2,1.71,GBp,Barclays PLC,Financial Services,Banks,2.05,2.2 - Buy,34350825472,31.3,26.13,6.549521,0.07845389,1.43,36.02%,1.50%
2,GOOG,8.19,8.37,3134,4260,36.78,77367.92,0.0,78493.92,2504.59,36.08,USD,Alphabet Inc.,Technology,Software,2805.02,1.5 - Strong Buy,1855913459712,112.197,134.58,25.000847,20.84277,1.07,36.67%,-
3,HUKX.L,75.43,0.0,4443,0,75.43,5558.41,0.0,1115.41,25.1,2.59,GBp,HSBC FTSE 100 UCITS ETF,ETF,High Market Cap,74.51,-,-,-,-,-,-,-,-,-
4,JNJ,83.3,1.44,5227,117,84.74,10695.24,0.0,5585.24,106.85,4.99,USD,Johnson & Johnson,Healthcare,Drug Manufacturers,171.3,2.1 - Buy,450964389888,7.808,10.98,21.939037,15.601094,0.71,4.07%,2.47%
5,JPM,74.48,0.94,3564,27,75.42,8460.98,0.0,4923.98,138.16,3.95,USD,JPMorgan Chase & Co.,Financial Services,Banks,152.91,2.4 - Buy,450182348800,15.36,12.42,9.955078,12.311594,1.12,8.86%,2.62%
6,K,107.88,0.0,4915,0,107.88,4885.53,0.0,-29.47,-0.6,2.28,USD,Kellogg Company,Consumer Defensive,Foods,61.87,2.9 - Hold,21105281024,3.668,4.13,16.867502,14.980629,0.59,6.65%,3.77%
7,MCD,80.96,0.89,6247,63,81.84,15652.22,100.0,9568.22,153.17,7.3,USD,McDonald's Corporation,Consumer Cyclical,Restaurants,261.26,2.0 - Buy,195225239552,10.036,11.1,26.032284,23.536938,0.60,22.91%,2.12%
8,PFE,339.88,0.0,7966,0,353.09,13761.79,0.0,5795.79,72.76,6.42,USD,Pfizer Inc.,Healthcare,Drug Manufacturers,53.34,-,299390500864,3.501,55.84,15.235647,0.9552292,0.68,52.21%,3.02%
9,SPY,31.98,0.52,4212,69,32.49,10721.54,0.0,6578.54,156.19,5.0,USD,SPDR S&P 500 ETF Trust,ETF,High Market Cap,450.16,-,413148741632,144.108,-,3.1237683,-,1.00,-,-
10,XOM,74.68,0.0,4457,0,74.68,4471.05,0.0,14.05,0.32,2.09,USD,Exxon Mobil Corporation,Energy,Oil & Gas,82.91,2.5 - Buy,351455510528,5.39,6.19,15.382191,13.394185,1.17,56.26%,4.32%
