date,value,amount_deposited,amount_bought,amount_sold,cumNet,amount_return_cum,percent_return_cum
2010-01-01,0.0,4849.0,0.0,0.0,0.0,0.0,
2010-01-04,509.38,0.0,608.0,0.0,608.0,-98.62,-16.22
2010-01-05,515.3,0.0,0.0,0.0,608.0,-92.7,-15.25
2010-01-06,518.68,3103.0,0.0,0.0,608.0,-89.32,-14.69
2010-01-07,609.52,0.0,1057.0,0.0,1665.0,-1055.48,-63.39
2010-01-08,605.35,0.0,0.0,0.0,1665.0,-1059.65,-63.64
2010-01-09,605.35,0.0,0.0,0.0,1665.0,-1059.65,-63.64
2010-01-10,605.35,0.0,0.0,0.0,1665.0,-1059.65,-63.64
2010-01-11,607.76,0.0,0.0,0.0,1665.0,-1057.24,-63.5
2010-01-12,603.73,0.0,0.0,0.0,1665.0,-1061.27,-63.74
2010-01-13,594.09,0.0,0.0,0.0,1665.0,-1070.91,-64.32
2010-01-14,593.72,0.0,0.0,0.0,1665.0,-1071.28,-64.34
2010-01-15,590.59,0.0,0.0,0.0,1665.0,-1074.41,-64.53
2010-01-16,590.59,0.0,0.0,0.0,1665.0,-1074.41,-64.53
2010-01-17,590.59,0.0,0.0,0.0,1665.0,-1074.41,-64.53
2010-01-18,590.59,0.0,0.0,0.0,1665.0,-1074.41,-64.53
2010-01-19,587.32,0.0,0.0,0.0,1665.0,-1077.68,-64.73
2010-01-20,579.09,0.0,0.0,0.0,1665.0,-1085.91,-65.22
2010-01-21,567.42,0.0,0.0,0.0,1665.0,-1097.58,-65.92
2010-01-22,562.38,0.0,0.0,0.0,1665.0,-1102.62,-66.22
2010-01-23,562.38,0.0,0.0,0.0,1665.0,-1102.62,-66.22
2010-01-24,1519.36,0.0,1142.0,0.0,2807.0,-1287.64,-45.87
2010-01-25,1505.65,0.0,0.0,0.0,2807.0,-1301.35,-46.36
2010-01-26,1497.0,0.0,0.0,0.0,2807.0,-1310.0,-46.67
2010-01-27,1514.31,0.0,0.0,0.0,2807.0,-1292.69,-46.05
2010-01-28,1515.67,0.0,0.0,0.0,2807.0,-1291.33,-46.0
2010-01-29,2972.77,0.0,1458.0,0.0,4265.0,-1292.23,-30.3
2010-01-30,2972.77,0.0,0.0,0.0,4265.0,-1292.23,-30.3
2010-01-31,2972.77,0.0,0.0,0.0,4265.0,-1292.23,-30.3
2010-02-01,3022.1,0.0,0.0,0.0,4265.0,-1242.9,-29.14
2010-02-02,3057.34,0.0,0.0,0.0,4265.0,-1207.66,-28.32
2010-02-03,3562.12,0.0,517.0,0.0,4782.0,-1219.88,-25.51
2010-02-04,3442.63,0.0,0.0,0.0,4782.0,-1339.37,-28.01
2010-02-05,3418.88,0.0,0.0,0.0,4782.0,-1363.12,-28.51
2010-02-06,3418.88,0.0,0.0,0.0,4782.0,-1363.12,-28.51
2010-02-07,3418.88,0.0,0.0,0.0,4782.0,-1363.12,-28.51
2010-02-08,3418.23,0.0,0.0,0.0,4782.0,-1363.77,-28.52
2010-02-09,3437.13,0.0,0.0,0.0,4782.0,-1344.87,-28.12
2010-02-10,3477.37,0.0,0.0,0.0,4782.0,-1304.63,-27.28
2010-02-11,3465.35,0.0,0.0,0.0,4782.0,-1316.65,-27.53
2010-02-12,3446.66,0.0,0.0,0.0,4782.0,-1335.34,-27.92
2010-02-13,3446.66,0.0,0.0,0.0,4782.0,-1335.34,-27.92
2010-02-14,3446.66,0.0,0.0,0.0,4782.0,-1335.34,-27.92
2010-02-15,3477.05,0.0,0.0,0.0,4782.0,-1304.95,-27.29
2010-02-16,3559.49,0.0,0.0,0.0,4782.0,-1222.51,-25.56
2010-02-17,3595.86,0.0,0.0,0.0,4782.0,-1186.14,-24.8
2010-02-18,3657.5,0.0,0.0,0.0,4782.0,-1124.5,-23.52
2010-02-19,3656.77,0.0,0.0,0.0,4782.0,-1125.23,-23.53
2010-02-20,3656.77,0.0,0.0,0.0,4782.0,-1125.23,-23.53
2010-02-21,3656.77,0.0,0.0,0.0,4782.0,-1125.23,-23.53
2010-02-22,3677.85,0.0,0.0,0.0,4782.0,-1104.15,-23.09
2010-02-23,3634.52,0.0,0.0,0.0,4782.0,-1147.48,-24.0
2010-02-24,4482.68,0.0,928.0,0.0,5710.0,-1227.32,-21.49
2010-02-25,4464.69,0.0,0.0,0.0,5710.0,-1245.31,-21.81
2010-02-26,4527.39,0.0,0.0,0.0,5710.0,-1182.61,-20.71
2010-02-27,4938.43,0.0,464.0,0.0,6174.0,-1235.57,-20.01
2010-02-28,4938.43,0.0,0.0,0.0,6174.0,-1235.57,-20.01
2010-03-01,5009.01,0.0,0.0,0.0,6174.0,-1164.99,-18.87
2010-03-02,5037.3,0.0,0.0,0.0,6174.0,-1136.7,-18.41
2010-03-03,5042.06,0.0,0.0,0.0,6174.0,-1131.94,-18.33
2010-03-04,5068.74,0.0,0.0,0.0,6174.0,-1105.26,-17.9
2010-03-05,5127.25,0.0,0.0,0.0,6174.0,-1046.75,-16.95
2010-03-06,5127.25,0.0,0.0,0.0,6174.0,-1046.75,-16.95
2010-03-07,5127.25,0.0,0.0,0.0,6174.0,-1046.75,-16.95
2010-03-08,6103.99,0.0,520.0,0.0,6694.0,-590.01,-8.81
2010-03-09,6108.04,0.0,0.0,0.0,6694.0,-585.96,-8.75
2010-03-10,6180.3,0.0,0.0,0.0,6694.0,-513.7,-7.67
2010-03-11,6161.91,0.0,0.0,0.0,6694.0,-532.09,-7.95
2010-03-12,6142.33,0.0,0.0,0.0,6694.0,-551.67,-8.24
2010-03-13,6142.33,0.0,0.0,0.0,6694.0,-551.67,-8.24
2010-03-14,6142.33,0.0,0.0,0.0,6694.0,-551.67,-8.24
2010-03-15,6136.54,0.0,0.0,0.0,6694.0,-557.46,-8.33
2010-03-16,6127.6,0.0,0.0,0.0,6694.0,-566.4,-8.46
2010-03-17,6149.62,0.0,0.0,0.0,6694.0,-544.38,-8.13
2010-03-18,6156.33,0.0,0.0,0.0,6694.0,-537.67,-8.03
2010-03-19,6198.88,0.0,0.0,0.0,6694.0,-495.12,-7.4
2010-03-20,6526.99,0.0,365.0,0.0,7059.0,-532.01,-7.54
2010-03-21,6526.99,0.0,0.0,0.0,7059.0,-532.01,-7.54
2010-03-22,6511.65,0.0,0.0,0.0,7059.0,-547.35,-7.75
2010-03-23,6574.8,0.0,0.0,0.0,7059.0,-484.2,-6.86
2010-03-24,6629.2,0.0,0.0,0.0,7059.0,-429.8,-6.09
2010-03-25,6684.36,0.0,0.0,0.0,7059.0,-374.64,-5.31
2010-03-26,6675.21,0.0,0.0,0.0,7059.0,-383.79,-5.44
2010-03-27,6675.21,0.0,0.0,0.0,7059.0,-383.79,-5.44
2010-03-28,6675.21,0.0,0.0,0.0,7059.0,-383.79,-5.44
2010-03-29,6613.04,0.0,0.0,0.0,7059.0,-445.96,-6.32
2010-03-30,6553.23,0.0,0.0,0.0,7059.0,-505.77,-7.16
2010-03-31,6530.43,0.0,0.0,0.0,7059.0,-528.57,-7.49
2010-04-01,6627.29,0.0,210.0,0.0,7269.0,-641.71,-8.83
2010-04-02,6627.29,0.0,0.0,0.0,7269.0,-641.71,-8.83
2010-04-03,6627.29,0.0,0.0,0.0,7269.0,-641.71,-8.83
2010-04-04,6627.29,0.0,0.0,0.0,7269.0,-641.71,-8.83
2010-04-05,6645.28,0.0,0.0,0.0,7269.0,-623.72,-8.58
2010-04-06,6666.62,0.0,0.0,0.0,7269.0,-602.38,-8.29
2010-04-07,11342.17,0.0,191.0,0.0,7460.0,3882.17,52.04
2010-04-08,11290.48,0.0,0.0,0.0,7460.0,3830.48,51.35
2010-04-09,11356.07,0.0,0.0,0.0,7460.0,3896.07,52.23
2010-04-10,11356.07,0.0,0.0,0.0,7460.0,3896.07,52.23
2010-04-11,11356.07,0.0,0.0,0.0,7460.0,3896.07,52.23
2010-04-12,11383.2,0.0,0.0,0.0,7460.0,3923.2,52.59
2010-04-13,11343.82,0.0,0.0,0.0,7460.0,3883.82,52.06
2010-04-14,11506.07,0.0,0.0,0.0,7460.0,4046.07,54.24
2010-04-15,11657.68,0.0,0.0,0.0,7460.0,4197.68,56.27
2010-04-16,11448.09,0.0,0.0,0.0,7460.0,3988.09,53.46
2010-04-17,11448.09,0.0,0.0,0.0,7460.0,3988.09,53.46
2010-04-18,11448.09,0.0,0.0,0.0,7460.0,3988.09,53.46
2010-04-19,11443.0,0.0,0.0,0.0,7460.0,3983.0,53.39
2010-04-20,11427.35,0.0,0.0,0.0,7460.0,3967.35,53.18
2010-04-21,11685.14,0.0,0.0,0.0,7460.0,4225.14,56.64
2010-04-22,11782.94,0.0,0.0,0.0,7460.0,4322.94,57.95
2010-04-23,11900.47,0.0,0.0,0.0,7460.0,4440.47,59.52
2010-04-24,11900.47,0.0,0.0,0.0,7460.0,4440.47,59.52
2010-04-25,11900.47,0.0,0.0,0.0,7460.0,4440.47,59.52
2010-04-26,11933.16,0.0,0.0,0.0,7460.0,4473.16,59.96
2010-04-27,11680.84,0.0,0.0,0.0,7460.0,4220.84,56.58
2010-04-28,11597.72,0.0,0.0,0.0,7460.0,4137.72,55.47
2010-04-29,11830.91,0.0,0.0,0.0,7460.0,4370.91,58.59
2010-04-30,11548.01,0.0,0.0,0.0,7460.0,4088.01,54.8
2010-05-01,11548.01,0.0,0.0,0.0,7460.0,4088.01,54.8
2010-05-02,11548.01,0.0,0.0,0.0,7460.0,4088.01,54.8
2010-05-03,11809.47,0.0,0.0,0.0,7460.0,4349.47,58.3
2010-05-04,11501.98,0.0,0.0,0.0,7460.0,4041.98,54.18
2010-05-05,11583.7,0.0,0.0,0.0,7460.0,4123.7,55.28
2010-05-06,11249.68,0.0,0.0,0.0,7460.0,3789.68,50.8
2010-05-07,10925.0,0.0,0.0,0.0,7460.0,3465.0,46.45
2010-05-08,10925.0,0.0,0.0,0.0,7460.0,3465.0,46.45
2010-05-09,10925.0,0.0,0.0,0.0,7460.0,3465.0,46.45
2010-05-10,11620.22,0.0,111.0,0.0,7571.0,4049.22,53.48
2010-05-11,11657.51,0.0,0.0,0.0,7571.0,4086.51,53.98
2010-05-12,11947.97,0.0,0.0,0.0,7571.0,4376.97,57.81
2010-05-13,11904.27,0.0,0.0,0.0,7571.0,4333.27,57.24
2010-05-14,11666.04,0.0,0.0,0.0,7571.0,4095.04,54.09
2010-05-15,11666.04,0.0,0.0,0.0,7571.0,4095.04,54.09
2010-05-16,11666.04,0.0,0.0,0.0,7571.0,4095.04,54.09
2010-05-17,11830.75,0.0,0.0,0.0,7571.0,4259.75,56.26
2010-05-18,11675.04,0.0,0.0,0.0,7571.0,4104.04,54.21
2010-05-19,11551.83,0.0,0.0,0.0,7571.0,3980.83,52.58
2010-05-20,11077.56,0.0,0.0,0.0,7571.0,3506.56,46.32
2010-05-21,11251.7,0.0,0.0,0.0,7571.0,3680.7,48.62
2010-05-22,11251.7,0.0,0.0,0.0,7571.0,3680.7,48.62
2010-05-23,11251.7,0.0,0.0,0.0,7571.0,3680.7,48.62
2010-05-24,11346.34,0.0,0.0,0.0,7571.0,3775.34,49.87
2010-05-25,11268.11,0.0,0.0,0.0,7571.0,3697.11,48.83
2010-05-26,11124.0,0.0,0.0,0.0,7571.0,3553.0,46.93
2010-05-27,11580.02,0.0,0.0,0.0,7571.0,4009.02,52.95
2010-05-28,11598.08,0.0,0.0,0.0,7571.0,4027.08,53.19
2010-05-29,11598.08,0.0,0.0,0.0,7571.0,4027.08,53.19
2010-05-30,11598.08,0.0,0.0,0.0,7571.0,4027.08,53.19
2010-05-31,11598.08,0.0,0.0,0.0,7571.0,4027.08,53.19
