ticker,currency,name,sector,industry,price,analyst,mcap,eps_ttm,eps_fwd,pe_ttm,pe_fwd,beta,52w_change,div_yield_fwd
XOM,USD,Exxon Mobil Corporation,-,-,82.91,2.5 - Buy,351455510528,5.39,6.19,15.382191,13.394185,1.17,56.26%,4.32%
JPM,USD,JPMorgan Chase & Co.,-,-,152.91,2.4 - Buy,450182348800,15.36,12.42,9.955078,12.311594,1.12,8.86%,2.62%
HUKX.L,GBp,HSBC ETFs Public Limited Company - HSBC FTSE 100 UCITS ETF,-,-,74.51,-,-,-,-,-,-,-,-,-
BARC.L,GBp,Barclays PLC,-,-,2.05,2.2 - Buy,34350825472,31.3,26.13,6.549521,0.07845389,1.43,36.02%,1.50%
MCD,USD,McDonald's Corporation,-,-,261.26,2.0 - Buy,195225239552,10.036,11.1,26.032284,23.536938,0.60,22.91%,2.12%
SPY,USD,SPDR S&P 500 ETF Trust,-,-,450.16,-,413148741632,144.108,-,3.1237683,-,1.00,-,-
GOOG,USD,Alphabet Inc.,-,-,2805.02,1.5 - Strong Buy,1855913459712,112.197,134.58,25.000847,20.84277,1.07,36.67%,-
AAPL,USD,Apple Inc.,-,-,172.71,1.8 - Buy,2818523791360,6.015,6.55,28.713219,26.367939,1.19,25.91%,0.51%
K,USD,Kellogg Company,-,-,61.87,2.9 - Hold,21105281024,3.668,4.13,16.867502,14.980629,0.59,6.65%,3.77%
PFE,USD,Pfizer Inc.,-,-,53.34,-,299390500864,3.501,55.84,15.235647,0.9552292,0.68,52.21%,3.02%
JNJ,USD,Johnson & Johnson,-,-,171.3,2.1 - Buy,450964389888,7.808,10.98,21.939037,15.601094,0.71,4.07%,2.47%
